,latitude,longitude,guncertain1,country,related,ishostkid,success
88,42.47031,-96.413949,0.0,217.0,"197002230001, 197002230002, 197002230003, 197002230004",0.0,1
89,42.47031,-96.413949,0.0,217.0,"197002230001, 197002230002, 197002230003, 197002230004",0.0,1
90,42.47031,-96.413949,0.0,217.0,"197002230001, 197002230002, 197002230003, 197002230004",0.0,1
91,32.222232,-110.925752,0.0,217.0,,0.0,1
92,39.758967999999996,-104.876305,0.0,217.0,,0.0,1
93,40.101952000000004,-88.227161,0.0,217.0,,0.0,1
94,40.007581,-105.265942,0.0,217.0,,0.0,1
95,31.530243,35.094162,0.0,102.0,,0.0,1
96,14.596051000000001,120.97866599999999,0.0,160.0,,0.0,1
97,41.890961,12.490069,0.0,98.0,,0.0,0
98,40.007581,-105.265942,0.0,217.0,,0.0,1
99,38.864281,-104.778412,0.0,217.0,,0.0,1
100,40.007581,-105.265942,0.0,217.0,,0.0,1
101,40.014986,-105.270546,0.0,217.0,,0.0,1
102,41.479561,-81.675461,0.0,217.0,,0.0,1
103,,,0.0,185.0,,1.0,0
104,39.758967999999996,-104.876305,0.0,217.0,,0.0,1
105,47.610786,-122.33130600000001,0.0,217.0,,0.0,1
106,37.791927,-122.22590600000001,0.0,217.0,,0.0,0
107,38.019304,-122.13406200000001,0.0,217.0,,0.0,0
108,39.758967999999996,-104.876305,0.0,217.0,,0.0,1
109,47.610786,-122.33130600000001,0.0,217.0,,0.0,1
110,39.758967999999996,-104.876305,0.0,217.0,,0.0,1
111,18.386932,-66.061127,1.0,217.0,,0.0,1
112,14.622869,-90.52906800000001,0.0,83.0,,1.0,1
113,42.331685,-83.047924,1.0,217.0,"197003060003, 197003060004",0.0,0
114,42.331685,-83.047924,1.0,217.0,"197003060003, 197003060004",0.0,0
115,37.874043,-122.280022,0.0,217.0,,0.0,1
116,33.83651,-86.254749,0.0,217.0,,0.0,1
117,41.18188,-73.19126899999999,0.0,217.0,,0.0,1
118,35.084319,-106.619781,0.0,217.0,,0.0,0
119,39.538940000000004,-76.348479,1.0,217.0,,0.0,0
120,48.139126,11.580186,0.0,362.0,,0.0,0
121,38.563122,-76.078063,1.0,217.0,,0.0,1
122,37.755363,-122.443352,0.0,217.0,,0.0,0
123,-23.550711,-46.633475,0.0,30.0,,1.0,1
124,40.102408000000004,-88.227159,0.0,217.0,,0.0,1
125,40.697132,-73.931351,0.0,217.0,"197003120001, 197003120002, 197003120005",0.0,1
126,40.697132,-73.931351,0.0,217.0,"197003120001, 197003120002, 197003120005",0.0,1
127,41.842602,-87.681229,1.0,217.0,"197003120003, 197003120004",0.0,1
128,41.842602,-87.681229,1.0,217.0,"197003120003, 197003120004",0.0,1
129,40.697132,-73.931351,0.0,217.0,"197003120001, 197003120002, 197003120005",0.0,1
130,44.260288,-88.39745500000001,0.0,217.0,"197003130001, 197003130002",0.0,1
131,44.268598,-88.42844000000001,0.0,217.0,"197003130001, 197003130002",0.0,1
132,,,0.0,65.0,,1.0,1
133,31.198056,29.919166999999998,0.0,60.0,,0.0,1
134,40.697132,-73.931351,0.0,217.0,,0.0,0
135,33.766725,-118.192399,0.0,217.0,,1.0,1
136,18.386932,-66.061127,0.0,217.0,,0.0,1
137,45.783975,-108.505794,0.0,217.0,,0.0,1
138,34.105245000000004,-117.294124,0.0,217.0,,0.0,1
139,34.097865999999996,-118.407379,1.0,217.0,,0.0,1
140,39.226834999999994,-84.45330899999999,0.0,217.0,,0.0,1
141,45.511795,-122.675629,0.0,217.0,,0.0,0
142,42.331685,-83.047924,0.0,217.0,,0.0,1
143,38.908642,-77.015381,0.0,217.0,,0.0,0
144,40.697132,-73.931351,0.0,217.0,"197003210002, 197003210003",0.0,1
145,40.697132,-73.931351,0.0,217.0,"197003210002, 197003210003",0.0,1
146,40.697132,-73.931351,0.0,217.0,"197003220001, 197003220002, 197003220003",0.0,1
147,40.697132,-73.931351,0.0,217.0,"197003220001, 197003220002, 197003220003",0.0,0
148,40.697132,-73.931351,1.0,217.0,"197003220001, 197003220002, 197003220003",0.0,1
149,28.538234999999997,-81.37738900000001,1.0,217.0,,0.0,1
150,15.153001999999999,120.59194199999999,0.0,160.0,,0.0,1
151,18.456792,-69.951164,0.0,58.0,,1.0,1
152,-27.583246000000003,-56.683333999999995,0.0,11.0,,1.0,1
153,40.697132,-73.931351,0.0,217.0,,0.0,1
154,41.479561,-81.675461,0.0,217.0,,0.0,1
155,37.93781,-122.34270900000001,1.0,217.0,,0.0,1
156,37.755363,-122.443352,0.0,217.0,,0.0,1
157,-34.61768,-58.444435,0.0,11.0,,1.0,1
158,33.888523,35.503513,0.0,110.0,,0.0,1
159,40.85122,-90.864369,0.0,217.0,,0.0,1
160,32.3575,-84.95623,0.0,217.0,,0.0,1
161,14.622869,-90.52906800000001,0.0,83.0,,1.0,1
162,33.580412,130.396361,0.0,101.0,,1.0,1
163,38.908642,-77.015381,0.0,217.0,,0.0,0
164,47.610786,-122.33130600000001,0.0,217.0,,0.0,1
165,,,0.0,65.0,,1.0,1
166,42.7375,-84.483779,0.0,217.0,,0.0,1
167,42.455233,-76.475847,0.0,217.0,,0.0,1
168,29.813822,-95.36529499999999,0.0,217.0,,0.0,1
169,15.185916,120.54186999999999,0.0,160.0,,0.0,1
170,40.697132,-73.931351,0.0,217.0,,0.0,0
171,53.361675,-6.2454849999999995,0.0,96.0,,0.0,1
172,40.697132,-73.931351,0.0,217.0,"197004040001, 197004040002",0.0,0
173,40.697132,-73.931351,0.0,217.0,"197004040001, 197004040002",0.0,0
174,46.731958,-117.162603,0.0,217.0,,0.0,1
175,-30.034108000000003,-51.217839,0.0,30.0,,1.0,0
176,-34.61768,-58.444435,0.0,11.0,,0.0,1
177,35.76625,-117.370674,0.0,217.0,,0.0,1
178,35.76625,-117.370674,0.0,217.0,,0.0,1
179,40.697132,-73.931351,0.0,217.0,,0.0,0
180,29.813822,-95.36529499999999,0.0,217.0,,0.0,1
181,38.973065000000005,-95.23653399999999,0.0,217.0,,0.0,1
182,37.023676,-94.735504,0.0,217.0,,0.0,1
